full_name,code
北京-北京市,110000
天津-天津市,120000
河北省-石家庄市,130100
河北省-唐山市,130200
河北省-秦皇岛市,130300
河北省-邯郸市,130400
河北省-邢台市,130500
河北省-保定市,130600
河北省-张家口市,130700
河北省-承德市,130800
河北省-沧州市,130900
河北省-廊坊市,131000
河北省-衡水市,131100
山西省-太原市,140100
山西省-大同市,140200
山西省-阳泉市,140300
山西省-长治市,140400
山西省-晋城市,140500
山西省-朔州市,140600
山西省-晋中市,140700
山西省-运城市,140800
山西省-忻州市,140900
山西省-临汾市,141000
山西省-吕梁市,141100
内蒙古-呼和浩特市,150100
内蒙古-包头市,150200
内蒙古-乌海市,150300
内蒙古-赤峰市,150400
内蒙古-通辽市,150500
内蒙古-鄂尔多斯市,150600
内蒙古-呼伦贝尔市,150700
内蒙古-巴彦淖尔市,150800
内蒙古-乌兰察布市,150900
辽宁省-沈阳市,210100
辽宁省-大连市,210200
辽宁省-鞍山市,210300
辽宁省-抚顺市,210400
辽宁省-本溪市,210500
辽宁省-丹东市,210600
辽宁省-锦州市,210700
辽宁省-营口市,210800
辽宁省-阜新市,210900
辽宁省-辽阳市,211000
辽宁省-盘锦市,211100
辽宁省-铁岭市,211200
辽宁省-朝阳市,211300
辽宁省-葫芦岛市,211400
吉林省-长春市,220100
吉林省-吉林市,220200
吉林省-四平市,220300
吉林省-辽源市,220400
吉林省-通化市,220500
吉林省-白山市,220600
吉林省-松原市,220700
吉林省-白城市,220800
吉林省-延边,222400
黑龙江省-哈尔滨市,230100
黑龙江省-齐齐哈尔市,230200
黑龙江省-鸡西市,230300
黑龙江省-鹤岗市,230400
黑龙江省-双鸭山市,230500
黑龙江省-大庆市,230600
黑龙江省-伊春市,230700
黑龙江省-佳木斯市,230800
黑龙江省-七台河市,230900
黑龙江省-牡丹江市,231000
黑龙江省-黑河市,231100
黑龙江省-绥化市,231200
上海-上海市,310000
江苏省-南京市,320100
江苏省-无锡市,320200
江苏省-徐州市,320300
江苏省-常州市,320400
江苏省-苏州市,320500
江苏省-南通市,320600
江苏省-连云港市,320700
江苏省-淮安市,320800
江苏省-盐城市,320900
江苏省-扬州市,321000
江苏省-镇江市,321100
江苏省-泰州市,321200
江苏省-宿迁市,321300
浙江省-杭州市,330100
浙江省-宁波市,330200
浙江省-温州市,330300
浙江省-嘉兴市,330400
浙江省-湖州市,330500
浙江省-绍兴市,330600
浙江省-金华市,330700
浙江省-衢州市,330800
浙江省-舟山市,330900
浙江省-台州市,331000
浙江省-丽水市,331100
安徽省-合肥市,340100
安徽省-芜湖市,340200
安徽省-蚌埠市,340300
安徽省-淮南市,340400
安徽省-马鞍山市,340500
安徽省-淮北市,340600
安徽省-铜陵市,340700
安徽省-安庆市,340800
安徽省-黄山市,341000
安徽省-滁州市,341100
安徽省-阜阳市,341200
安徽省-宿州市,341300
安徽省-六安市,341500
安徽省-亳州市,341600
安徽省-池州市,341700
安徽省-宣城市,341800
福建省-福州市,350100
福建省-厦门市,350200
福建省-莆田市,350300
福建省-三明市,350400
福建省-泉州市,350500
福建省-漳州市,350600
福建省-南平市,350700
福建省-龙岩市,350800
福建省-宁德市,350900
江西省-南昌市,360100
江西省-景德镇市,360200
江西省-萍乡市,360300
江西省-九江市,360400
江西省-新余市,360500
江西省-鹰潭市,360600
江西省-赣州市,360700
江西省-吉安市,360800
江西省-宜春市,360900
江西省-抚州市,361000
江西省-上饶市,361100
山东省-济南市,370100
山东省-青岛市,370200
山东省-淄博市,370300
山东省-枣庄市,370400
山东省-东营市,370500
山东省-烟台市,370600
山东省-潍坊市,370700
山东省-济宁市,370800
山东省-泰安市,370900
山东省-威海市,371000
山东省-日照市,371100
山东省-临沂市,371300
山东省-德州市,371400
山东省-聊城市,371500
山东省-滨州市,371600
山东省-菏泽市,371700
河南省-郑州市,410100
河南省-开封市,410200
河南省-洛阳市,410300
河南省-平顶山市,410400
河南省-安阳市,410500
河南省-鹤壁市,410600
河南省-新乡市,410700
河南省-焦作市,410800
河南省-濮阳市,410900
河南省-许昌市,411000
河南省-漯河市,411100
河南省-三门峡市,411200
河南省-南阳市,411300
河南省-商丘市,411400
河南省-信阳市,411500
河南省-周口市,411600
河南省-驻马店市,411700
河南省-济源市,419001
湖北省-武汉市,420100
湖北省-黄石市,420200
湖北省-十堰市,420300
湖北省-宜昌市,420500
湖北省-襄阳市,420600
湖北省-鄂州市,420700
湖北省-荆门市,420800
湖北省-孝感市,420900
湖北省-荆州市,421000
湖北省-黄冈市,421100
湖北省-咸宁市,421200
湖北省-随州市,421300
湖北省-恩施,422800
湖北省-仙桃市,429004
湖北省-潜江市,429005
湖北省-天门市,429006
湖南省-长沙市,430100
湖南省-株洲市,430200
湖南省-湘潭市,430300
湖南省-衡阳市,430400
湖南省-邵阳市,430500
湖南省-岳阳市,430600
湖南省-常德市,430700
湖南省-张家界市,430800
湖南省-益阳市,430900
湖南省-郴州市,431000
湖南省-永州市,431100
湖南省-怀化市,431200
湖南省-娄底市,431300
湖南省-湘西,433100
广东省-广州市,440100
广东省-韶关市,440200
广东省-深圳市,440300
广东省-珠海市,440400
广东省-汕头市,440500
广东省-佛山市,440600
广东省-江门市,440700
广东省-湛江市,440800
广东省-茂名市,440900
广东省-肇庆市,441200
广东省-惠州市,441300
广东省-梅州市,441400
广东省-汕尾市,441500
广东省-河源市,441600
广东省-阳江市,441700
广东省-清远市,441800
广东省-东莞市,441900
广东省-中山市,442000
广东省-潮州市,445100
广东省-揭阳市,445200
广东省-云浮市,445300
广西-南宁市,450100
广西-柳州市,450200
广西-桂林市,450300
广西-梧州市,450400
广西-北海市,450500
广西-防城港市,450600
广西-钦州市,450700
广西-贵港市,450800
广西-玉林市,450900
广西-百色市,451000
广西-贺州市,451100
广西-河池市,451200
广西-来宾市,451300
广西-崇左市,451400
海南省-海口市,460100
海南省-三亚市,460200
海南省-三沙市,460300
海南省-儋州市,460400
海南省-五指山市,469001
海南省-琼海市,469002
海南省-文昌市,469005
海南省-万宁市,469006
海南省-东方市,469007
重庆-重庆市,500000
四川省-成都市,510100
四川省-自贡市,510300
四川省-攀枝花市,510400
四川省-泸州市,510500
四川省-德阳市,510600
四川省-绵阳市,510700
四川省-广元市,510800
四川省-遂宁市,510900
四川省-内江市,511000
四川省-乐山市,511100
四川省-南充市,511300
四川省-眉山市,511400
四川省-宜宾市,511500
四川省-广安市,511600
四川省-达州市,511700
四川省-雅安市,511800
四川省-巴中市,511900
四川省-资阳市,512000
四川省-阿坝,513200
四川省-甘孜,513300
贵州省-贵阳市,520100
贵州省-六盘水市,520200
贵州省-遵义市,520300
贵州省-安顺市,520400
贵州省-毕节市,520500
贵州省-铜仁市,520600
贵州省-黔西南,522300
贵州省-黔东南,522600
贵州省-黔南,522700
云南省-昆明市,530100
云南省-曲靖市,530300
云南省-玉溪市,530400
云南省-保山市,530500
